"","Average Property Filing Rate – Three Cities",,,"","Average Property Filing Rate – NIAs",,
"Landlord Type","City 3","City 2","City 1","City 3–1 Spread","NIA (A)","Non-NIA (B)","B-A"
"Financial","14.1","9.1","5.9","8.1","16.4","8.5","7.9"
"Chain","8.5","6.9","3.2","5.3","12.0","5.3","6.7"
"Multiple Owners","6.5","5.2","2.7","3.8","7.6","4.2","5.2"
"Single Owners","5.3","5.3","1.9","3.5","6.0","3.8","4.3"
"Total Private","8.9","6.8","3.2","5.7","10.9","5.5","5.4"
"Total Non-Market","5.0","3.7","3.6","1.3","4.6","4.1","0.5"
"Total All Owners","8.4","6.4","3.3","5.1","9.9","5.3","4.6"
"Starlight Investments","18.5","12.4","8.5","9.9","20.3","12.5","7.8"
"CAPREIT","12.0","8.3","5.5","6.5","14.4","7.3","7.0"
