Firm,active,Type,Type of Firm and Additional Details,Total Holdings in suites,Geography,Properties (in Toronto),Suites (in Toronto)
Sun Life,TRUE,Financial,Institution,$1.396B in multi-family,NA,4,880
Fishman Group,FALSE,Financial,Foreign Investors,1943 ca. 2000-2014,NA,6,1943
Wynn,FALSE,Chain,Family,3000,Toronto,21,3005
Davpart,TRUE,Chain,Private real estate company,14 properties,ON,9,516
Mainstreet Equity,TRUE,Financial,Publicly Listed,15475,Canada,3,478
MacDane Group,TRUE,Chain,Private real estate company,23 properties,"ON,NS",4,233
Siteline,TRUE,Financial,Asset Manager and Investor,1600,ON,8,840
Woodbourne,TRUE,Financial,Foreign Private Equity Asset Manager,18000,Canada,2,363
AIMCo,TRUE,Financial,Institution—Pension,NA,Canada,17,1768
Ronkay,TRUE,Chain,Private real estate company,4 properties,Toronto,4,730
Greenwin,TRUE,Chain,Family,"3012(own) 17600(manage)",NA, 10,2861
El-Ad Group,FALSE,Financial,Foreign,sold 33 buildings in 2014,NA, 21,4448
Equity Builders,TRUE,Financial,Investment Management,26 properties,ON,3,228
Family Properties,TRUE,Chain,Family,10-15 properties,ON,8,338
Trans Globe,FALSE,Financial,REIT,21516 before sale in 2012,NA,76,5463
Aiderbrook Mgmt,TRUE,Chain,Family,NA,NA,5,260
Starlight,TRUE,Financial,Asset Management,54000 in 2023,Canada,160,12987
North 44,TRUE,Chain,Apartment Management Firm,61904,Canada,12,439
Centurion REIT,TRUE,Financial,REIT,14840,NA,201,1148
Ranee,TRUE,Chain,Family,7500,Greater Toronto,36,6068
Precise Capital,TRUE,Financial,Asset Management,1000-3000,ON,5,382
Firm Capital,TRUE,Financial,Private Equity Investment Company,3000,NA,17,1538
Trivest,TRUE,Chain,Apt management & development company,30 buildings,ON,24,1113
CAPREIT,TRUE,Financial,REIT,47419, Canada,83,12833
Gowan,TRUE,Chain,Property Management Company,NA,NA,25,1692
